,Platform,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q14_12,Q14_13,Q14_15,Q14_14
2,Apple,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
4,Android,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,Apple,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
6,Apple,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,Apple,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0
9,Apple,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
11,Android,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0
12,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Android,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
17,Apple,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0
19,Apple,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
23,Android,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0
25,Android,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0
27,Apple,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
32,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Android,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0
39,Apple,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0
40,Android,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42,Android,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0
44,Android,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0
52,Apple,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
56,Apple,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0
58,Android,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0
64,Apple,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
68,Android,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0
70,Apple,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
73,Apple,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
74,Android,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
80,Android,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0
81,Android,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0
82,Android,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0
83,Android,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
84,Apple,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
85,Android,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0
87,Apple,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
88,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
89,Apple,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0
90,Apple,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
92,Android,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
94,Apple,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0
96,Apple,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0
98,Apple,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
100,Android,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0
101,Android,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0
102,Apple,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
103,Apple,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0
104,Android,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
106,Android,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0
107,Android,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0
109,Android,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0
110,Android,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0
111,Android,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
112,Apple,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0
113,Android,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0
114,Apple,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0
115,Apple,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
116,Apple,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0
118,Apple,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0
119,Apple,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0
121,Apple,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0
124,Android,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0
126,Apple,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
127,Android,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
128,Android,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
129,Android,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0
132,Android,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0
133,Apple,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
135,Apple,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0
137,Apple,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
138,Android,1,1,0,0,0,1,0,1,1,1,0,1,0,1,0
139,Android,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
